UniversityName;NumStudents;WikiPageID
Blue Ridge Community College (Virginia);4983;2621582
Bluefields Indian and Caribbean University;6479;44183578
Bluffton University;1094;2974932
Bob Jones University;3155;4717
Boca Raton Community High School;3288;17985481
Bocconi University;14396;706612
Bocconi University School of Law;1411;25689535
Bogalusa High School;850;7226574
Bohai University;23450;6073054
Boise State University;24103;86645
Bolu Abant Izzet Baysal University;29269;4261634
Bon Accueil State College;959;47556318
Bon Secours Memorial College of Nursing;500;53828628
Bongaigaon College;5000;42537257
Boonshoft School of Medicine;430;22675731
Booth University College;282;19833966
Bora Laskin Faculty of Law;195;42642551
Boston Architectural College;300;6222601
Boston Architectural College;700;6222601
Boston College Law School;794;471283
Boston College School of Theology and Ministry;420;8702278
Boston University Chobanian & Avedisian School of Medicine;729;10084456
Botho University;4000;37938626
Botswana Accountancy College;2500;30001374
Bow Valley College;17000;4298558
Bowdoin College;1951;197798
Bowen University;5000;4621767
Bowie State University;6171;498816
Bowling Green State University;20395;275181
Bowling Green State University;22986;275181
Box Hill Institute;40000;7001744
Boyce College;1235;15142461
Boğaziçi University;16706;606778
Bradford College;0;1053501
Bradford College (United States);600;2113276
Brahmanand College Kanpur;4000;47925344
Brahmanbaria Government College;13035;55966207
Brahmanbaria Medical College;260;50823539
Brainware University;2679;51101853
Brajalal College;35000;4146491
Brandeis International Business School;317;1839471
Brandeis University;5458;81223
Brandenburg University of Technology;7000;10827190
Braude College of Engineering;5500;5091222
Braybrook College;1424;30088152
Brazosport College;4191;12745910
Breda University of Applied Sciences;7223;24886174
Brenau University;3500;1644538
Brera Academy;3800;10474311
Brescia University;1298;2506969
Brewton–Parker College;1119;4451010
Bridgend College;13000;7616040
Brigham Young University;34737;82058
Brigham Young University–Hawaii;3203;511477
Brigham Young University–Idaho;26963;543502
Bright School, Vadodara;15000;20009857
Daulat Ram College;4000;1870381
Davao Doctors' College;3500;31187948
Davao Oriental State University;8753;23265893
Davao del Norte State College;2018;25120824
David Geffen School of Drama at Yale University;194;695450
David Suzuki Secondary School;1563;35576317
Davis & Elkins College;805;1245269
Davis College of Agricultural Sciences & Natural Resources;1928;10648206
Dawson College;11000;186759
Dayanand College Latur;10000;24317321
Dayanand Medical College & Hospital;768;48345530
Dayanand college;6000;50337494
Dayeh University;11211;21663831
Daytona State College;21675;3496028
DeLand-Weldon High School;54;34865985
DeVry University;18195;489512
De Anza College;21526;310490
De La Salle Araneta University;3849;5230879
De La Salle Canlubang;1493;875569
De La Salle John Bosco College;2769;6764120
De La Salle Lipa;6220;2932542
De La Salle Medical and Health Sciences Institute;5500;4939367
De La Salle Philippines;91515;5795531
De La Salle University;16704;299660
De La Salle University – Dasmariñas;15000;5229415
De La Salle–College of Saint Benilde;9690;1281628
Deakin University;64585;619887
Debraj Roy College;2500;31274754
Debrecen Reformed Theological University;1200;30994902
Dedman School of Law;900;7124102
Deep Springs College;26;353345
Defence Institute of Advanced Technology;565;11943899
Defence Services Academy;7500;13922469
Defiance College;505;5410224
Deggendorf Institute of Technology;6300;4719607
Del Mar College;12236;5826215
Del Rosario University;12393;6240459
Delaware County Community College;10073;4077789
Delft University of Technology;26480;103244
Delgado Community College;19000;1550031
Delhi High School;705;19968809
Delhi Institute of Technology & Management;120;59228724
Delhi University;1892000;1430270
Delta College (Michigan);15000;1892012
Delta State University;2727;1868995
Demiroğlu Bilim University;2486;38659407
Department of Biochemistry, University of Oxford;450;9491409
Department of Business Development and Technology;1800;15683773
Department of Computer Science, University of Manchester;800;529379
Department of East Asian Studies, University of Delhi;200;44412682
Department of Law, University of Calcutta;600;54246859
Department of Management Studies, IIT (ISM) Dhanbad;180;51735007
Department of Management Studies IIT Delhi;371;5078342
Department of Media and Communication (RUPP);300;34375240
Department of Philosophy, King's College London;450;53597922
Dept. of Computer Science, University of Delhi;200;32861535
Des Moines Area Community College;23474;2020409
Des Moines University;1550;1809066
Desautels Faculty of Management;3051;6423891
Devanga Arts College;2255;55301021
Devi Ahilya Vishwavidyalaya;9550;8783669
All India Institute of Medical Sciences, Bilaspur;200;66391341
Allen College;625;44460053
Alliance Française de Washington;4000;25361776
Alliant International University;3871;2758561
Animation Mentor;100;18569163
Ankara Yıldırım Beyazıt University;15000;38658221
Antioch University Los Angeles;1200;23172641
Antioch University Santa Barbara;400;16227395
Aoraki Polytechnic;1910;11304107
Hixson–Lied College of Fine and Performing Arts;739;7092808
Hlukhiv National Pedagogical University of Oleksandr Dovzhenko;5000;39160946
Ho Chi Minh City University of Technology;24910;7296259
Hobart College, Tasmania;1184;1657441
Hoboken High School;428;8378169
Hochschule Bonn-Rhein-Sieg University of Applied Sciences;9500;39839002
Hochschule Furtwangen University;5902;2596946
Hochschule Mittweida;7;23375081
Hochschule Wismar;8406;4945385
Hochschule der Bildenden Künste Saar;500;65471681
Hochschule für Gestaltung Schwäbisch Gmünd;662;51908233
Hochschule für Musik Carl Maria von Weber;600;23377119
Hochschule für Musik Hanns Eisler Berlin;600;795332
Hochschule für Musik Karlsruhe;560;23503802
Hochschule für Musik Würzburg;650;37096930
Hochschule für Technik Rapperswil;1600;20812483
Hocking College;3671;586199
Hodges University;1170;11004182
Hof University;3700;12747847
Hofstra University;10444;418091
Hogeschool van Amsterdam;43000;11303987
Hollywood High School;1481;2229432
Holon Institute of Technology;4382;662622
Holy Angel's Convent Trivandrum;6000;8819098
Holy Angel University;21000;7604017
Holy Child Academy;1300;17139957
Holy Cross College, Tiruchirappalli;5564;48977223
Holy Family College (Wisconsin);500;1372478
Holy Family University;1985;3096897
Holy Names High School (Oakland, California);151;6137594
Holy Names University;2174;4531701
